0,instanceID,starttime,13321050109.415649
0,instanceID,starttime,13321050109.432106
0,instanceID,starttime,13321050109.446512
0,instanceID,starttime,13321050109.456535
0,instanceID,starttime,13321050109.465750
0,instanceID,starttime,13324028009.909819
0,instanceID,starttime,13324028009.968493
0,instanceID,starttime,13324028009.980688
0,instanceID,starttime,13324028009.988308
0,instanceID,starttime,13324028009.998363
0,instanceID,starttime,13324028010.008469
0,instanceID,starttime,13324028010.019714
0,instanceID,starttime,13324028010.027828
0,instanceID,starttime,13324028010.034212
0,instanceID,starttime,13324028010.040848
0,instanceID,starttime,13326857611.497120
0,instanceID,starttime,13326857611.550451
0,instanceID,starttime,13326857611.568851
0,instanceID,starttime,13326857611.579334
0,instanceID,starttime,13326857611.593763
0,instanceID,starttime,13326857611.609604
0,instanceID,starttime,13326857611.626411
0,instanceID,starttime,13326857611.640804
0,instanceID,starttime,13326857611.651815
0,instanceID,starttime,13326857611.662249
0,instanceID,starttime,13327156913.978224
0,instanceID,starttime,13327156914.025686
0,instanceID,starttime,13327156914.043608
0,instanceID,starttime,13327156914.054264
0,instanceID,starttime,13327156914.069183
0,instanceID,starttime,13327156914.084246
0,instanceID,starttime,13327156914.100931
0,instanceID,starttime,13327156914.115583
0,instanceID,starttime,13327156914.126368
0,instanceID,starttime,13327156914.138039
0,instanceID,starttime,13327903882.318724
0,instanceID,starttime,13327903882.366936
0,instanceID,starttime,13327903882.384373
0,instanceID,starttime,13327903882.394480
0,instanceID,starttime,13327903882.409075
0,instanceID,starttime,13327903882.422974
0,instanceID,starttime,13327903882.438540
0,instanceID,starttime,13327903882.452126
0,instanceID,starttime,13327903882.461857
0,instanceID,starttime,13327903882.472500
0,instanceID,starttime,13327919127.161325
0,instanceID,starttime,13327919127.217749
0,instanceID,starttime,13327919127.234514
0,instanceID,starttime,13327919127.242224
0,instanceID,starttime,13327919127.256624
0,instanceID,starttime,13327919127.271164
0,instanceID,starttime,13327919127.287252
0,instanceID,starttime,13327919127.300140
0,instanceID,starttime,13327919127.309011
0,instanceID,starttime,13327919127.317890
0,instanceID,starttime,13328005906.284094
0,instanceID,starttime,13328005906.330824
0,instanceID,starttime,13328005906.343676
0,instanceID,starttime,13328005906.351156
0,instanceID,starttime,13328005906.361437
0,instanceID,starttime,13328005906.372101
0,instanceID,starttime,13328005906.383808
0,instanceID,starttime,13328005906.392456
0,instanceID,starttime,13328005906.398535
0,instanceID,starttime,13328005906.404877
0,instanceID,starttime,13328173095.645924
0,instanceID,starttime,13328173095.698849
0,instanceID,starttime,13328173095.728472
0,instanceID,starttime,13328173095.740585
0,instanceID,starttime,13328173095.756042
0,instanceID,starttime,13328173095.781715
0,instanceID,starttime,13328173095.799128
0,instanceID,starttime,13328173095.815004
0,instanceID,starttime,13328173095.826843
0,instanceID,starttime,13328173095.837961
0,instanceID,starttime,13328338682.285675
0,instanceID,starttime,13328338682.326529
0,instanceID,starttime,13328338682.342817
0,instanceID,starttime,13328338682.352560
0,instanceID,starttime,13328338682.367559
0,instanceID,starttime,13328338682.390297
0,instanceID,starttime,13328338682.404173
0,instanceID,starttime,13328338682.415024
0,instanceID,starttime,13328338682.423019
0,instanceID,starttime,13328338682.431744
0,instanceID,starttime,13328713897.035788
0,instanceID,starttime,13328713897.082439
0,instanceID,starttime,13328713897.105860
0,instanceID,starttime,13328713897.125740
0,instanceID,starttime,13328713897.138636
0,instanceID,starttime,13328713897.150175
0,instanceID,starttime,13328713897.163132
0,instanceID,starttime,13328713897.172852
0,instanceID,starttime,13328713897.179815
0,instanceID,starttime,13328713897.187084
0,instanceID,starttime,13328879466.877865
0,instanceID,starttime,13328879466.946535
0,instanceID,starttime,13328879466.983290
0,instanceID,starttime,13328879467.004150
0,instanceID,starttime,13328879467.018436
0,instanceID,starttime,13328879467.035027
0,instanceID,starttime,13328879467.053265
0,instanceID,starttime,13328879467.067308
0,instanceID,starttime,13328879467.078411
0,instanceID,starttime,13328879467.088428
0,instanceID,starttime,13329570550.439720
0,instanceID,starttime,13329570550.497610
0,instanceID,starttime,13329570550.511927
0,instanceID,starttime,13329570550.519527
0,instanceID,starttime,13329570550.529980
0,instanceID,starttime,13329570550.540804
0,instanceID,starttime,13329570550.554010
0,instanceID,starttime,13329570550.563454
0,instanceID,starttime,13329570550.569912
